win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
0,False,True,False,False,False,True,0,0,1.1838989739542227,10.112359550561798,22.0,-1,-1,-3,0
1,True,True,True,False,True,True,0,0,4.595404595404595,0.9990917347865577,25.0,1,0,2,1
0,True,True,False,False,False,True,0,0,2.3068050749711646,3.3820138355111453,26.0,-1,-1,-5,2
0,True,False,False,False,True,True,0,0,1.726749469857619,5.457340507302075,28.0,-1,-2,-3,0
1,True,False,True,True,True,False,0,0,3.0303030303030303,2.346805736636245,40.0,2,2,0,-2
0,False,False,False,True,True,False,0,0,1.7890028939752698,6.764027671022291,21.0,-1,1,-2,-2
0,False,True,False,False,False,True,0,0,1.9205472244146278,5.534204458109147,23.0,-1,-1,0,0
1,True,True,True,False,True,True,0,0,3.096903096903097,0.4995004995004995,20.0,1,0,1,1
0,False,False,False,False,False,False,0,0,1.1423131841980008,10.224438902743143,14.0,-2,0,-1,-2
0,False,False,False,False,False,False,0,0,1.4690879412364823,2.4474319200275767,24.0,-1,-1,-3,0
0,False,False,False,False,True,False,0,0,1.6244923461418308,8.11485642946317,14.0,-1,-1,-1,-2
0,True,True,False,True,True,True,0,0,3.379343169919086,1.8086625416468347,27.0,-1,1,1,2
0,False,True,False,False,False,False,0,0,2.177293934681182,4.697651174412793,22.0,-1,-2,-3,-2
0,True,False,False,False,False,False,0,0,2.5685226685054303,2.242637125101324,37.0,-2,-3,-1,-2
1,True,True,True,True,False,True,0,0,3.598560575769692,1.3923598714744734,35.0,2,1,1,2
1,True,False,True,False,False,True,0,0,2.6542571527059633,2.6986506746626686,30.0,1,-1,-3,2
1,True,True,True,False,False,True,0,0,3.1570639305445938,2.816901408450704,39.0,1,1,0,2
1,False,False,True,True,True,True,0,0,4.039983340274885,1.344364012409514,31.0,1,1,2,2
0,False,True,True,True,True,False,0,0,3.0761343245321715,2.3023326264768254,35.0,0,1,-2,0
1,True,True,True,True,False,True,1,0,2.8226992061158485,2.1914648212226067,32.0,1,1,3,2
1,True,False,True,True,True,False,0,0,3.698150924537731,1.1995201919232306,36.0,1,1,2,0
0,False,True,False,False,False,True,0,0,2.657195474875033,3.2902957101207826,23.0,-1,-2,1,2
1,True,True,True,False,True,True,0,0,5.706134094151213,0.14275517487508924,25.0,1,0,1,2
0,False,True,False,True,True,False,0,0,2.171664943123061,4.925053533190578,23.0,-1,1,-1,-1
1,True,True,True,True,False,True,0,0,3.7261435928506517,1.5583651867097914,38.0,1,2,0,1
1,True,True,True,True,True,True,0,0,2.8742814296425894,1.2746813296675832,35.0,2,1,1,1
1,True,True,True,False,True,True,0,0,4.992867332382311,0.35688793718772305,28.0,1,0,2,1
1,False,False,True,True,True,False,0,0,3.8077106139933363,1.9038553069966682,29.0,1,1,3,0
1,True,True,True,False,True,True,0,0,2.797202797202797,1.098901098901099,21.0,1,0,2,1
0,True,True,False,False,True,True,0,0,1.4993184915947295,5.1355206847360915,17.0,-1,-1,-2,0
0,True,True,False,False,False,True,0,0,3.69681469425715,2.7638929726551016,28.0,-1,-2,-5,2
0,False,True,False,True,False,False,1,0,2.1307982297983936,2.721466259372397,34.0,-2,1,2,-1
1,True,True,True,False,False,True,0,0,4.122423485321674,1.8812463256907699,31.0,1,0,1,2
1,True,True,True,False,True,False,0,0,4.954367666232073,1.36986301369863,33.0,2,-1,2,-2
1,True,False,True,True,False,False,0,0,2.7410512737826505,2.862335302135393,33.0,1,1,-1,-2
0,False,True,False,False,False,True,0,0,1.3607331296861984,8.3645443196005,21.0,-1,-1,-1,0
1,True,True,True,True,True,False,0,0,4.0504997369805364,1.7134697762970013,33.0,1,1,1,0
0,False,False,False,True,False,False,0,0,2.599133622125958,2.788006312467122,30.0,-1,1,0,0
0,True,True,True,True,True,True,0,0,2.8882470562097313,2.0316027088036117,35.0,-1,0,1,1
1,False,True,True,True,True,True,0,0,4.309806371018113,0.9196321471411435,34.0,2,1,2,2
0,False,False,False,False,False,True,0,0,1.6890727335401585,5.294705294705294,16.0,-1,-1,-4,1
1,False,False,True,False,True,False,0,0,4.611837048424289,0.8942661756970015,27.0,1,0,1,0
1,False,True,True,False,True,True,0,0,3.471856917411888,0.7496251874062968,21.0,2,0,2,1
0,True,True,False,True,False,True,0,0,2.792140641158221,2.332361516034985,32.0,-2,1,-4,0
1,True,True,True,False,True,True,0,0,3.2418952618453867,0.1996007984031936,25.0,1,0,1,1
0,True,False,False,False,False,False,0,0,1.838116736536601,3.46435709526982,15.0,-1,-1,-2,-1
0,True,False,False,False,True,False,0,0,2.033781454670803,3.5602748282323544,16.0,-1,-1,-1,-2
1,True,True,True,False,False,True,0,0,5.617977528089888,0.5235602094240838,27.0,1,0,0,2
0,False,False,False,False,False,False,0,0,1.8440346589646746,3.3621081326669695,22.0,-1,-1,-2,0
0,False,False,False,False,False,True,0,0,1.5785319652722969,5.4121565362198165,15.0,-1,-1,-4,1
0,True,False,False,False,True,False,0,0,2.1591363454618153,4.13057961359094,30.0,-4,-1,-1,0
